COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 13/09/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: SEPTIEMBRE DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 32049 
 NOMBRE    : SAN FRANCISCO (SMN) 
 ESTADO    : ZACATECAS 
 MUNICIPIO : GENERAL FRANCISCO R. MURGUÍA 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 24.32472222 ° 
 LONGITUD  : -102.885 ° 
 ALTITUD   : 1680 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1995	6.01	0.56	0	0.01	12.53	20.07		83.1	20.58	32.01	0.06	10.52	185.45	16.9	11
1996	1.5	2.01	0	5.54	28.04	130.06	18.6	95.1	40.55	84.51	18.01	0.01	423.93	35.3	12
1997	17	20.01	5.59	21.58	22.07	20.61	43.6	27.06	80.06	10.04	27.5	3.51	298.63	24.9	12
2009	0.02	0	4.71	0	14.38	60.16	51.24	54.55	70.12	17.73	11.73	2.81	287.45	24	12
2010	4.12	22.93	1.1	0.04	21.23	13.17	126.46	8.99	85.94	0	0	0	283.98	23.7	12
2011	0	0	0	0	1.04	16.72	50.05	59.19	20.06	10.83	0	0.02	157.91	13.2	12
2012	17.01	10.73	0.05	9.54	5.07	12.23	76.71	61.59	102.44	28.23	1.04	1.02	325.66	27.1	12
2013	10.63	0.01	0.03	0.03	7.96	43.07	202.25	49.98	118.15	43.21	17.04	47.24	539.6	45	12
2014	9.33	0	4.31	0.04	61.05	93.94	96.8	73.07	122.54	12.62	52.93	7.71	534.34	44.5	12
2015	13.44	87.05	56.43	7.43	9.28	95.63	88.74	37.19	40.82	83.55	6.04	0.04	525.64	43.8	12
2016	4.03	0.21	10.75	0.05	8.96	17.54	86.27	191.95	67.55	2.64	12.02	0.23	402.2	33.5	12
2017	0	0	53.23	2.62	11.33	16.33	103.19	55.24	105.28	10.33	0	23.62	381.17	31.8	12
2018	10	9.16	0.01	10.04	22.06	48.74	37.69	43.01	196.16	48.24	13.72	0.02	438.85	36.6	12
2019	34.61	0.02	4.71	0.02	2.24	50.22	30.96	10.47	51.05	24.83	40.15	20.91	270.19	22.5	12
2020	53.51	11.31	2.55	0.02	5.07	51.19	129.1	0.05	49.73	0	0	0.9	303.43	25.3	12
2021	0.03	0	0	0.01	34.43	61.12	110.73	90.64	53.73	34.76	7.22	2.91	395.58	33	12
2022	0.03	0.01	0	8.53				119.51	97.63	68.36	2.41		296.48	37.1	8
2023	0	0	0.02	6.23	31.98	2.54							40.77	6.8	6
2024								0	0				0	0	2
MÍNIMA	0	0	0	0	0.02	0	7.58	0	0	0	0	0	0	0	2
MÁXIMA	93.52	87.05	56.43	39.5	61.05	148.54	202.25	201.02	196.16	142.07	67.5	47.24	551.07	51.7	12
MEDIA	10.8	6.5	4.7	6.6	17.9	43.7	70	72.1	65.8	30.7	10.7	10.3	337.3	28.8	11.6
DESV.ST	16.2	12.8	10.4	10.7	14.8	31.6	46.8	45.2	42.8	27.3	14.7	12.1	119.4	10.2	1.6

EVAPORACIÓN MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1991							152.15	199.43	129.32	138.97	109.22	85.6	814.69	135.8	6
1992	75.1	119.49	205.65	221.13	243.32	283.92	259.03	228.21	206.97	174.87	137.01	126.29	2280.99	190.1	12
1993	138.84	164.07	238.19	269.55	291.81	245.89	237.86	268.69	156.16	182.56	116.75	125.61	2435.98	203	12
1994	124.69	164.77	240.01	254.93	275.66	249.96	258.41		155.98	148.96	139.82	99.59	2112.78	192.1	11
1995	117.63	131.22	219.09	264.25	307.14	274.97		186.68	178.53	190.99	131.56	99.37	2101.43	191	11
1996	131.71	154.57	221.4	238.07	292.49	238.31	236.54	176.73	144.07	144.63	118.21	98.43	2195.16	182.9	12
1997	110.3	151.9	164.45	189.3	236.6	226.08	236.87	232.14	185.51	156.27		108.83	1998.25	181.7	11
2009	132.44	171.32	226.39	280.47	235.35	228.57	241.66	224.56	131.12	155.08	118.75	114.83	2260.54	188.4	12
2010	118.42	115.98	219.69	272.2	308.94	262.72	180.09	233.96	160.76	165.96	146.73	131.84	2317.29	193.1	12
2011	137.89	179.25	244.45	292.66	301.12	303.93	182.24	232.56	195.02	178.54	150.88	142.07	2540.61	211.7	12
