COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 13/09/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: SEPTIEMBRE DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 32045 
 NOMBRE    : RIO GRANDE (SMN) 
 ESTADO    : ZACATECAS 
 MUNICIPIO : RÍO GRANDE 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 23.81694444 ° 
 LONGITUD  : -103.0258333 ° 
 ALTITUD   : 1902 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1947	61.02		0	3.01	26.01	20	35.02	152.54	112.03	107.03	1.01	14.5	532.17	48.4	11
1948	50.2	0.23	0	16.53	0.01	75.29	67.74	56.68	80.14	33.24	0.24	0.3	380.6	31.7	12
1949	2.25	19.22	0.31	0.17	5.24	44.1	99.16	40.25	0.2	61.15	0.19	0.19	272.43	22.7	12
1950	0.29	0.26	0.27	0.12	2.12	37.01	27.11	108.1	41.19	4.25	0.26	0.23	221.21	18.4	12
1951	0.24	0.23	7.22	9.94	0.25	25.21	88.03	11.23	132.19	40.21	20.21		334.96	30.5	11
1952	0.27	0.14	0.21	6.23	0.25	20.21	135.06	27.21	31.26	12.29	0.25	0.2	233.58	19.5	12
1953	0.1	25.01	5.29	4.26	28.05	29	29	138	63	53	61	22.5	458.21	38.2	12
1954	0	0	0	0	27.01	29	52	138	27.05	0.01	0	0	273.07	22.8	12
1955	0	0	0	0	0.04	0	62.04	180.5	32	0	0	0	274.58	22.9	12
1956	0	0	0	0	33.5	53	0	28	0	30.04	0	0	144.54	12	12
1957	0	0	0	0	11	0	37	13	41	25	0	2	129	10.8	12
1958	11	0	20	0	20	115	45	122	92	207	20	40	692	57.7	12
1959	0	22	35	0	18	31	102.03	104	161	208.04	56	0.03	737.1	61.4	12
1960	0	0	0	0.04	0	0	48.07	106.06	0.15	0	0	0	154.32	12.9	12
1961	18	0	0	5	5	57	102	100	73	34	0	0	394	32.8	12
1962	15	0	0	22	8	41	15	34	83	30	0	7	255	21.2	12
1963	0	0	0	2	77	77	142	89	88	12	3	20	510	42.5	12
1964	16	0	0	3	57	30	99	34	25		19	30	313	28.5	11
1965	9	0	0	0	14	57	34	71	23	9			217	21.7	10
1968	0	5	29	0	6	0							40	6.7	6
1969	0												0	0	1
1970	0	19	0		0	99	66	28	212				424	53	8
1991	1	2	0	0	2.5	44.4	168.7	146.6	76.1	101.22	3.5	47.5	593.52	49.5	12
1992	126	1	1.5	5	41		95	34.5	58	31	26	3	422	38.4	11
1993	7.5	2	0	0	10	24	56	118.5	88.5	1.5	45.5	5	358.5	29.9	12
1994	7	0	7	30	6	77.5	18.5	85	39.5	29.5	20	9.5	329.5	27.5	12
1995	9	1.5	0	0	0	28	26.02	69	31.03	0	0.01	4.52	169.08	14.1	12
1996	0	7	0	6	5	70.53	43.01	48.54	44.04	174.52	24.5	0.01	423.15	35.3	12
1997	32.5	14	13.5	24.5	45.6	73.2	32	25.7	26	14	29.1	14	344.1	28.7	12
1998	0	6.3	0	0	0	25	10.6	155.9	47	14	11	0	269.8	22.5	12
1999	0	0	0	1	6.5	118.2	38.5	23	35.5	4	6.6	11.8	245.1	20.4	12
2000	0	0	0	0	41.6	175.71	50.3	16.2	33.8	41.5	4.9		364.01	33.1	11
2005	3.7	61.91	4.8	1.4	0.02	17	49.34	112.63	28.03	59.12	5	5.5	348.45	29	12
2006	36.5	0	0	0	34.92	76.4	57.36	117.25	151.22	57.43	0.01	27.03	558.12	46.5	12
2007	5.5	0	0	4	0.02	148.94	83.88	15.04	73.05	14.01	9.52	0	353.96	29.5	12
2008	0			3.51	15.31	38.05	73.07	144.03	139	16.51	0	0.01	429.49	42.9	10
2009	0.01	0	2.51	0.03	17.04	68.52	32.04	109.53	111.03	82.51	19.02	5.52	447.76	37.3	12
2010	11.01	41.01	0.01	3.2	0.04	39.03	148.16	28.49	125.38	0.02	0	0	396.35	33	12
2011	0	0	0	0.01	2.32	7.13	71.79	85.42	24.63	15.62	0.01	0	206.93	17.2	12
2012	19.01	15.25	4.51	1.61	0.06	21.22	57.49	63.09	55.26	8.72	0.64	0.03	246.89	20.6	12
2013	13.61	0	0.02	0.02	4.64	19.85	151.35	104.24	216.85	15.62	32.75	40.02	598.97	49.9	12
2014	10.93	0	0	0	6.75	55.57	39.39	82.12	100.45	28.93	27.21	8.6	359.95	30	12
2015	27.71	59.22	114.14	2.94	10.86	146.85	42.37	10.02	72.16	83.45	5.21	0.03	574.96	47.9	12
2016	1.8	11.7	9.32	0.01	13.85	43.87	81.29	142.89	84.58	7.62	42.94	0.43	440.3	36.7	12
2017	0	0	21.13	0.02	2.77	30.64	95.81	45.88	84.17	13.95	0	26.14	320.51	26.7	12
2018	15.22	30.15	0	1.75	18.5	152.74	29.58	64.86	156.32	73.52	20.21	0.4	563.25	46.9	12
2019	3.61	0	1.81	0.01	9.1	25.78	98.34	48.3	90.42	3.92	75.73	20.32	377.34	31.4	12
2020	14.14	8.9	0.61	0.02	0.07	90.86	171.32	30.65	51.22	0	0	0.8	368.59	30.7	12
2021	0.01	0	0	1.23	22.57	117.54	148.74	85.85	209.94	18.43	148.25	1.11	753.67	62.8	12
2022	0	0	0	116.02	0.02	38.43	44.34	111.25	94.11	25.02	0	0	429.19	35.8	12
2023			0	3.8	10.01	15.01	129.32		21.21				179.35	29.9	6
2024		37.01	0	0	0	69.43	269	20					395.44	56.5	7
MÍNIMA	0	0	0	0	0	0	0	10.02	0	0	0	0	0	0	1
MÁXIMA	126	61.91	114.14	116.02	77	175.71	269	180.5	234.53	208.04	148.25	81.44	753.67	62.8	12
MEDIA	10.8	8.3	5.8	5.2	13.2	55.1	78.6	72.8	83.7	36.3	17.3	10	363.5	32.4	10.9
DESV.ST	20.2	13.9	16.4	15.3	17.8	45.5	53.2	45.3	58.6	46.8	27.6	15.8	175.3	14.3	2.4

EVAPORACIÓN MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1991	92.53	97.96	168.21	153.5	258.84	286.48	156.38	188.32	115.02	112.46	83.24	77.01	1789.95	149.2	12
1992	88.85	102.77	149.62	170.93	186.87		220.69	181.09	159.78	114.13	98.96	75.04	1548.73	140.8	11
1993	105.99	124.89	198.6	194.84	246.53	229.44	224.51	225.39	135.07	122.28	84.62	79.57	1971.73	164.3	12
1994	79.19	114.09	189.23	204.64	250.06	221.24	230.52	172.74	153.33	113.61	101.99	84.05	1914.69	159.6	12
1995	96.78	120.44	214.82	245.11	294.41	284.42	233.57	182.3	172.98	181.07	107.16	78.59	2211.65	184.3	12
1996	113.9	128.57	196.45	228.32	279.6	243.53	233	191.53	152.42	113.62	100.42	71.58	2052.94	171.1	12
1997	91.6	119.6	147.8	160.7	234.3	222.1	210.9	216.2	162.7	135	93	94.2	1888.1	157.3	12
1998	98.8	144.6	217	292.4	325.5	264.3							1342.6	223.8	6
1999								82.9	177.2	151.9	124.5	100.8	637.3	127.5	5
2000	121.5	161.1	208.4	200.5	242.2	116.9	202.4	138.5	189.2	148.1	108.9		1837.7	167.1	11
2014				110.31	202.33	205.9	168.35	146.33	97.67	83.56	56.43	61.6	1132.48	125.8	9
2015	67.48	68.76	92.74	128.55	201.48	142	158.58	155.08	121.61	79.66	63.69	76.26	1355.89	113	12
2016	67.92	105.81	149.63	184.24	218.14	204.98	187.64	106.69	97.11	88.93	63.63	71.47	1546.19	128.8	12
2017	98.36	120.89	168.52	219.33	261.78	246.03	184.82	158.38	100.56	120.54	99.08	64.67	1842.96	153.6	12
2018	81.33	92.09	178.25	195.73	215.31	185.26	202.14	171.71	115.55	100.8	75.22	77.87	1691.26	140.9	12
2019	84.41	126.06	163.23	194.89	247.49	221.5	197.97	202.75	139.64	137.07	80.39	68.71	1864.11	155.3	12
2020	71.15	111.63	180.65	212.84	249.59	229.53	178.66	169.63	132.5	144.58	102.24	87.5	1870.5	155.9	12
2021	83.92	120.29	179.48	211.99	214.57	174.53	144.78	146.63	101.16	91.47	79.85	75.39	1624.06	135.3	12
2022	92.64	117.43	207.07	228.35	272.77	242.91	215.19	204.66	150.53	124.61	116.62	95.5	2068.28	172.4	12
2023			225.67	198.22	274	297.41	267.36		218.23				1480.89	246.8	6
2024		127.85	173.5	259.33	212.18	312.3	239.05	194.16					1518.37	216.9	7
MÍNIMA	67.48	68.76	92.74	110.31	186.87	116.9	144.78	82.9	97.11	79.66	56.43	61.6	637.3	113	5
MÁXIMA	121.5	161.1	225.67	292.4	325.5	312.3	267.36	225.39	218.23	181.07	124.5	100.8	2211.65	246.8	12
MEDIA	90.4	116.9	179.4	199.7	244.4	227.9	203	170.3	141.7	120.2	91.1	78.8	1675.7	161.4	10.6
DESV.ST	15.1	20	31.6	42.6	34.8	50.7	32.4	35.9	33.9	26.5	19	10.7	360.5	33.7	2.4

TEMPERATURA MÁXIMA PROMEDIO
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1922						32.6	30.1	33	28.4	27	27.6	25.8		29.2	7
1923	24.1	24	26.2	31.2	34.6	35.5	32.2	31.9	30.9	27.1	22.5	22		28.5	12
1924	22.2	23.3	26.9	27.1	35.8	34.8	32.8	33	30.8	28.8	26.3	25.6		29	12
1925	23.9	28.4	28.2	33.1	33.4	33.6	32.8	33.6	28.6	27.8	24.9	20		29	12
1926	19	24.7	28.6	28.4	30.9	34	31.8	29.3	30.1	29.6	25.9	23.4		28	12
1927	24.5	24.3	27.8	30.8	34.6	29.7	27.6	30	28	26.5	27	21.4		27.7	12
1928	23.1	23.4	27.2	30	31.4	34.4	29.8	29.1	25.2	27.9	23.6	23.1		27.4	12
1929	23.5	25.9	26.2	31.3	33.3	33.3	29.5	28.7	30	27	23.7	21.9		27.9	12
1930	22.3	23.5	27.2	29.2	31.8	30.2	31.5	30.6	31.4	26.4	21.4	20.6		27.2	12
1931	17.6	20.4	24.9	29.3	32.7	33.7	32.6	30.3	32	28.9	27.6	24.9		27.9	12
1932	24	27.2	26.5	27.8	36.3	38.3	36.6	31.1	29	28.3	24.7	22.8		29.4	12
1933	21.9	23.9	29.4	30.8	35.8				29	28.5	25.3	26.2		27.9	9
1934	24.7	26.1	27.5			30.4	30	28.5	25.9	25.1	23	21.9		26.3	10
1935	20.1	20.5	26.7	27.9	30.1	28.9	26.3	26.4	24.4	25.1	24.8	21.1		25.2	12
1936	22.2	23.1	24.7						28.9			22.7		24.3	5
1941										29.6	26.1	22.2		26	3
1942	23.5	21	21	37.4	41.7	40	35.5	36.6	31	29.9	26.2	23.7		30.6	12
1943	22.5	27.1	30.9	34.5	35.2	32.7	32.1	33.4	29.9	26.7	23.7	20.2		29.1	12
1944	20.5	26.2	28.9	31.4		35	32.9	30.9	29.8	28.2	25.9	21.3		28.3	11
1945	21.1	27.9	32.5	32.9	35.9	36.5	32	32.7	32.4	31.1	30.5	27.4		31.1	12
1946										30.7	30.5	30.3		30.5	3
1947	25.6		32.9	35.6	38.4	38.6	36.9	33.9	30.9	31	32	22.7		32.6	11
1948	20.3	22.2	22.5	24.5	31	30.9	25.8	25.9	26.2	27.5	25	25.4		25.6	12
1949	25	26.1	30.7	31.9	37	36.5	36.1	34.4	32.9	30.8	25.3	26.4		31.1	12
1950	28.6	28.4	31.8	35.8	38.3	37.7	35.3	33.3	35	28.9	26	22.7		31.8	12
1951	23.6	26.9	28.5	29.6	34.2	36.2	33.2	31.5	29.9	29.3	29.5			30.2	11
1952	29.3	25.7	29.2	30.5	32.8	33.2	33	32.1	31.1	27.7	26.6	22.1		29.4	12
1953	25.5	24.1	30.5	30.1	35.2	35.1	32.4	31.1	28.9	26.9	24.2	21.1		28.8	12
1954	25.4	27.8	31.4	30.6	35.2	35.1	31.3	30.8	35	33.8	36	22.2		31.2	12
1955	28.6	27.9	31.9	20.5	35	33.5	32.3	26.8	32.3	30.3	29.5	21.8		29.2	12
1956	24.5	27	25	32.9	33.3	26.8	33.5	32.8	32.6	25.2	24.3	25.8		28.6	12
1957	24	24.1	30.7	30	33.5	30.1	32.6	33.9	28.7	26.5	25.5	22.3		28.5	12
1958	16.8	23.5	26.5	29.9	31	32.4	32.1	32.9	32.9	31.6	26.4	22.8		28.2	12
1959	17.2	16.8	19.9	26.5	31.6	34.8	36.9	38.3	38.3	34	25.7	20.9		28.4	12
1960	18.7	19.2	23.2	31.3	36.9	37.8	39	39	39.4	38	37	27.2		32.2	12
1961	23.2	26.4	28.4	32.8	36	31.7	32.1	30.1	31.2	31.4	29.3	26.5		29.9	12
1962	18.4	19.6	28.7	28.1	33.9	34.1	34.2	33.3	28.8	27.5	25.5	22.5		27.9	12
