COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 13/09/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: SEPTIEMBRE DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 32005 
 NOMBRE    : CAÑITAS DE FELIPE PESCADOR 
 ESTADO    : ZACATECAS 
 MUNICIPIO : CAÑITAS DE FELIPE PESCADOR 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 23.60222222 ° 
 LONGITUD  : -102.7338889 ° 
 ALTITUD   : 2046 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1959	23	24	26	30	38	31	29	28	29	29	30	25		28.5	12
1960	25	25	28	28	30	32	30	27	26	28	25	27		27.6	12
1961	22	24	29	32	34	30	29	29	28	27	25	25		27.8	12
1962	23	25	26	27	33	32	31	30	27	27	24	22		27.2	12
1963	28	25	29	33	38	32	39	28	29	28	25	24		29.8	12
1964	22	25	26	30	38	32	28	30	27	23	24	22		27.2	12
1965	21	22	26	29	32	31	28	25	32	26	26	28		27.2	12
1966	19	21	26	32	35	38	29	27	30	28	25	25		27.9	12
1967	23	26	27	32	34	31	27	29	26	24	24	24		27.2	12
1969	26	26	27	32	32	37	31	31	28	29	30	34		30.2	12
1970	25	25	29	34	32	33	36	38	28					31.1	9
1973										30	30	26		28.7	3
1974	28	29	32	33.5	36	37	32	32	33	30	30	27		31.6	12
1975	29	28	31.5	35.5	33.5	37	36	35	37	32	31	28		32.8	12
1976	29	29	31	32.5	35	35.5	31.5	32	35	33	26	27		31.4	12
1977	26	28	36	32	36	33	32	34.5	36	38	27	30		32.4	12
1978	29	32	35	35	42	39	35	34	28.5	31	30	26.5		33.1	12
1979	28	28.5	32	37	38	35	35	31.5	31	30.5	28	25.5		31.7	12
1980	33.5	33	31.5	37.5	41	40	36.5	37.5	36	32.5	31.5	25		34.6	12
1981	25	32	33	31	32	35	31	31	30.5	30	30	26		30.5	12
1982	27.5	28.5	32	34	35.5	37	30	29.5	30	29	26	25.5		30.4	12
1983	24	24	28	35	36	33	30	30	31	28	26	25		29.2	12
1984	24	25	29	33	34	34	28	28	28	28	28	31		29.2	12
1985	25	26	28	32	34	32	28	30	28	29	29	25		28.8	12
1986	26.5	29	28	32	31	30	29	29	29	27	28	24		28.5	12
1987		26		31	31	33	31	28	30	26	25	25		28.6	10
1988	24	27	29	32	32	32	27	27	28	28	27	25		28.2	12
1989		26	32	30	33	33	31	28	27	28	29	21		28.9	11
1990	25	27		30	34	31	26	27	27	27	26	27		27.9	11
1991	24	27	33	31	35	33	25	28	27	27	25	27		28.5	12
1992	24	23	29	29	31	32	31	29	29	25	25	26		27.8	12
1993	24	27	28	31		34	29	29	27	31	28	25		28.5	11
1994	24	28	31	30	33	32	29	29				26		29.1	9
1995	24	26	30	30	34	33	29	27	32	31				29.6	10
1996							31	30	29.2	26	26	23.5		27.6	6
1997	23.5	25.5	28	30	31	33.5	31	32.5	30	30	28	28		29.2	12
1998	24	28	31.5	33	36	38.5	33	30	28	30	27.5	27.5		30.6	12
1999	27	28.5	29.5	35	34.5	34	30	31	31	30	26	24.5		30.1	12
2000	28	29.5	30	35	34	29	33.5	29	32	30	28.5	26		30.4	12
2001	25	28	29	34	34	33	35	32.5	30	29	26.5	25		30.1	12
2002	27	26	31											28	3
2005	26.5	27	29	32	34	37	33	30	30	29	27	26		30	12
2006	25	30	31	36	34	38	33	33	31	31	26	26		31.2	12
2008	26	28	32	33	38	38	35	33	27	27	26	27		30.8	12
2009	27	30	31	32	36	34	33	33	32	32	28	27		31.2	12
2010	25	22	33			32	32	29	29	28.5	27	25.5		28.3	10
2011	25	28.5	31	32	35.5	33.5	32			29	27	25		29.9	10
2012		28	29	33		33	30	31			27			30.1	7
2013	24	27	28	28	30	29	29	29	27	27	27	27		27.7	12
2014	25	28	28	29	38	33	30	30	29	26	25	23		28.7	12
2015	25	28	27	29	30	30	29	30	29	27	27	26		28.1	12
2016	25	28	27	29	31	29	30	29	29	29	26	24		28	12
2017	26	29	31	31	33	33	33	31	29	28		28		30.2	11
2018	26	29	32	33	37	39	33	31	28	28	29	26		30.9	12
2019	26	29	31	31	32							27		29.3	6
2020	24	29	32	32	33	34	32	32	31	28	26	29		30.2	12
2021	26	26	26	33.4	36	33.7	30.2	29.9	27.9		28.5	30.1		29.8	11
2022	28.6	31.4	31.7	35.4	35.2	33.9			29.6	28.6	29.5	30.1		31.4	10
2023	29.6	31	33.8	33.9	33.3	38.2	34.1							33.4	7
2024	20.6	25.1	30.2	35.7	38.7	36.4	31.3	29.3						30.9	8
MÍNIMA	19	21	24	25	29	29	25	25	26	23	24	21		25.4	3
MÁXIMA	33.5	33	36	37.5	42	40	39	38	37	38	31.5	34		34.6	12
MEDIA	25.3	27.1	29.7	31.9	34.2	33.7	31	30.1	29.4	28.5	27	25.9		29.5	10.9
DESV.ST	2.4	2.5	2.5	2.5	2.8	2.8	2.8	2.6	2.5	2.5	2	2.4		1.8	2.2

TEMPERATURA MÍNIMA PROMEDIO
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1956								11.6	11.8	8.8	5	3.2		8.1	5
1957	3.1	5.1	5.2	-0.3	8.3	11.9	12.7	12.5	11.1	10	6.2	1.8		7.3	12
1958	0.3	1.9	5.8	7.7	11.2	14.2	12.5	12.4	12.3	9.7	7.4	4.3		8.3	12
1959	2.6	5.4	3.6	8.4	9.7	13.6	12.3	12.2	10.7	10.5	6.2	2.6		8.2	12
1960	4.5	4.1	2.9	5.9	8.4	13	11.7	12.1	8	7.6	5	2.2		7.1	12
1961	0.8	0.9	2.7	6.2	10.2	11.8	11.8	11.2	10.6	6.7	5.3	1.9		6.7	12
1962	0.7	2.4	3.3	5.3	10.4	12.1	12.4	12.7	12.3	10.3	3	2.5		7.3	12
