COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 13/09/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: SEPTIEMBRE DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 32004 
 NOMBRE    : CAMACHO (SMN) 
 ESTADO    : ZACATECAS 
 MUNICIPIO : MAZAPIL 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 24.44388889 ° 
 LONGITUD  : -102.3736111 ° 
 ALTITUD   : 1665 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
2014	26	30	30	33	36	36	34	33	33	31	27			31.7	11
2015	26	27	27	31	34	36	34	35	34	32	31	29		31.3	12
2016	26	32	32	34	36	36	36	35	33		30	28		32.5	11
2017	27	30		34	38	38	36	37	35	34	33	27		33.5	11
2018	24	31	34	36	43	43		39	32	30	30	27		33.5	11
2019	27	30	34	34	39	37	35							33.7	7
2020	26	32	39	37	37	37	34			34	33	26		33.5	10
2021	25	31	33	35	37	37	35	33			29	28		32.3	10
2022	27	30	35	35	38	37	37	35	31	30				33.5	10
MÍNIMA	16	15	18	25	32	32	30	31	25	27	25	15		25.6	2
MÁXIMA	36	32	39	39	43	43	39	39	37	39	34	36		35.2	12
MEDIA	26.8	28.4	31.8	34.8	36.8	36.5	34.9	34.4	32.7	32.4	29.4	27.1		31.9	10.4
DESV.ST	2.7	3.1	3.6	2.7	2	2.1	2.2	2.4	2.6	2.9	2.5	3.1		2.2	2.6

TEMPERATURA MÍNIMA PROMEDIO
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1940	3.3	5	7.2	10.9	12.7	15.3	14.8	15.3	14.2	10.4	3.9	3.7		9.7	12
1962											5	6		5.5	2
1963	2.7	3.3	5.5	13.2	10.7	12.3	13.2	11	11.3	10.3	9.5	6.8		9.2	12
1964	2	1.6	6.7	11.3	11.2	13.3	12.7	14.5	14.9	11	7.6	4.8		9.3	12
1965	3.2	3	5.5	11.2	12.8	15.9	13.7	14.3	14.8	9.4	8.2	6.2		9.8	12
1966	4.8	3.6	7.9	10.2	12.6	14.5	16	14.8	15	12.3	4.3	1.7		9.8	12
1967	1.3	4.5	8.5	11.8	14	15.5	15.6	15.2	14.3	10.1	7.9	3.6		10.2	12
1968	5.5	4.8	7.1	11	12.7	15.2	14.7	14.9	14.2	12.3	7.9	5.3		10.5	12
1969	5.7	8.6	7.3	11	12	15.3	16.5	16.2	14.8	12.7	7.9	4		11	12
1970	3.3	5.1	7.2	10.9	12.7	15	14.9	15.5	14.3	10.4	4	3.7		9.8	12
1971	5.2	2.4	6.6	9.7	14.1	16	14.5	14.4	14.3	13.7	8.3	6		10.4	12
1972	4.2	5.4	7.9	10.6	13.6									8.3	5
1991									10.6	12.2		5.1		9.3	3
1992	4.9	6.1	4.7	5.1					13.4	10.2	9.6			7.7	7
1993						14	15.8	14.8	14.8	12	8.3	3.6		11.9	7
1994	7.8	7.2	9.4	11.4	14.9		16.2	14.9	13.2	10.5	8.7	9.6		11.3	11
